surah,verse,word_position,madani1,madani2,makki,basari,dimashqi,kufi,himsi,surah_name,last_3_words
84,7,5,1,1,1,-1,-1,1,-1,الإنشقاق,أُوتِیَ كِتَٰبَهُۥ بِیَمِینِهِۦ
84,10,6,1,1,1,-1,-1,1,-1,الإنشقاق,كِتَٰبَهُۥ وَرَآءَ ظَهۡرِهِۦ
85,11,11,-1,-1,-1,-1,-1,-1,1,البروج,من تحتها الأنهر
86,15,3,-1,1,1,1,1,1,1,الطارق,إِنَّهُمۡ یَكِیدُونَ كَیۡدࣰا
89,15,8,1,1,1,-1,-1,-1,1,الفجر,رَبُّهُۥ فَأَكۡرَمَهُۥ وَنَعَّمَهُۥ
89,15,11,1,1,1,1,1,1,-1,الفجر,أكرمن
89,16,7,1,1,1,-1,-1,-1,-1,الفجر,فَقَدَرَ عَلَیۡهِ رِزۡقَهُۥ
89,23,3,1,1,1,-1,1,-1,1,الفجر,وَجِا۟یٓءَ یَوۡمَىِٕذِۭ بِجَهَنَّمَ
89,29,3,-1,-1,-1,-1,-1,1,-1,الفجر,فَٱدۡخُلِی فِی عِبَٰدِی
91,14,2,1,-1,1,-1,-1,-1,1,الشمس,فَكَذَّبُوهُ فَعَقَرُوهَا
91,14,7,1,1,1,1,1,1,-1,الشمس,فسوها
96,9,3,1,1,1,1,-1,1,1,العلق,أَرَءَیۡتَ ٱلَّذِی یَنۡهَىٰ
96,15,4,1,1,1,-1,-1,-1,-1,العلق,لَىِٕن لَّمۡ یَنتَهِ
97,3,2,-1,-1,1,-1,1,-1,1,القدر,لَیۡلَةُ ٱلۡقَدۡرِ
98,5,8,-1,-1,-1,1,1,-1,1,البينة,مُخۡلِصِینَ لَهُ ٱلدِّینَ
99,6,4,-1,1,1,1,1,-1,1,الزلزلة,یَصۡدُرُ ٱلنَّاسُ أَشۡتَاتࣰا
101,1,1,-1,-1,-1,-1,-1,1,-1,القارعة,ٱلۡقَارِعَةُ
101,6,4,1,1,1,-1,-1,1,-1,القارعة,مَن ثَقُلَتۡ مَوَٰزِینُهُۥ
101,8,4,1,1,1,-1,-1,1,-1,القارعة,مَنۡ خَفَّتۡ مَوَٰزِینُهُۥ
103,1,1,1,-1,1,1,1,1,1,العصر,وَٱلۡعَصۡرِ
103,3,7,-1,1,-1,-1,-1,-1,-1,العصر,ٱلصَّٰلِحَٰتِ وَتَوَاصَوۡا۟ بِٱلۡحَقِّ
106,4,4,1,1,1,-1,-1,-1,-1,قريش,أَطۡعَمَهُم مِّن جُوعࣲ
107,6,3,-1,-1,-1,1,-1,1,1,الماعون,ٱلَّذِینَ هُمۡ یُرَآءُونَ
112,3,2,-1,-1,1,-1,1,-1,1,الإخلاص,لَمۡ یَلِدۡ
114,4,3,-1,-1,1,-1,1,-1,1,الناس,مِن شَرِّ ٱلۡوَسۡوَاسِ
