surah,verse,word_position,madani1,madani2,makki,basari,shami,kufi
40,18,8,1,1,1,1,1,-1
40,20,14,1,-1,1,-1,-1,-1
40,42,15,-1,1,-1,-1,1,-1
40,53,8,1,-1,1,-1,1,1
40,66,7,-1,-1,-1,-1,-1,1
40,71,6,-1,1,-1,-1,1,1
41,1,1,-1,-1,-1,-1,-1,1
41,13,9,1,1,1,-1,-1,1
42,1,1,-1,-1,-1,-1,-1,1
42,2,1,-1,-1,-1,-1,-1,1
42,5,14,-1,-1,-1,-1,-1,1
43,1,1,-1,-1,-1,-1,-1,1
43,52,8,1,1,1,1,-1,-1
44,1,1,-1,-1,-1,-1,-1,1
44,7,2,-1,1,1,1,-1,1
44,34,3,-1,-1,-1,-1,-1,1
44,43,3,1,-1,-1,1,1,1
45,1,1,-1,-1,-1,-1,-1,1
46,1,1,-1,-1,-1,-1,-1,1
47,4,19,1,1,1,1,1,-1
47,15,22,-1,-1,-1,1,-1,-1
52,1,1,-1,-1,-1,1,1,1
52,13,6,-1,-1,-1,-1,1,1
53,23,18,1,1,1,1,-1,1
53,28,13,-1,-1,-1,-1,-1,1
53,29,4,-1,-1,-1,-1,1,-1
55,1,1,-1,-1,-1,-1,1,1
55,3,2,-1,-1,1,1,1,1
55,10,3,1,1,-1,1,1,1
55,35,4,1,1,1,-1,-1,-1
55,43,6,1,1,1,-1,1,1
56,8,2,1,1,1,-1,-1,1
56,8,3,-1,1,-1,1,1,1
56,18,2,-1,1,1,-1,-1,-1
56,19,2,-1,1,-1,-1,1,-1
56,22,2,1,-1,-1,-1,-1,1
56,27,5,1,1,1,1,1,-1
56,27,5,1,1,1,1,1,-1
56,35,2,1,1,1,-1,1,1
56,41,5,1,-1,1,1,1,-1
56,41,5,1,1,1,1,1,-1
56,61,2,-1,-1,-1,-1,1,-1
56,62,6,1,-1,1,1,-1,1
57,13,26,-1,-1,-1,-1,-1,1
57,24,9,-1,-1,-1,1,-1,-1
58,2,12,1,-1,-1,1,1,1
65,1,2,1,-1,-1,-1,-1,-1
65,2,21,-1,-1,-1,-1,1,-1
65,2,28,-1,1,1,-1,-1,1
67,9,4,1,1,1,-1,-1,-1
69,1,1,-1,-1,-1,-1,-1,1
69,25,2,1,1,1,-1,-1,-1
70,39,5,1,1,1,1,-1,1
71,23,9,1,1,1,1,1,-1
71,23,13,-1,1,-1,-1,-1,1
71,24,2,1,-1,1,-1,-1,-1
71,27,10,1,1,1,1,1,-1
72,9,4,1,1,-1,1,1,1
72,18,8,-1,-1,1,-1,-1,-1
73,1,2,1,-1,-1,-1,1,1
73,5,4,-1,-1,1,-1,-1,-1
73,17,8,1,-1,1,1,1,1
74,40,3,1,-1,1,1,1,1
74,43,5,1,1,-1,1,-1,1
75,16,5,-1,-1,-1,-1,-1,1
78,30,5,-1,-1,-1,1,-1,-1
79,33,3,1,1,1,-1,-1,1
79,37,3,-1,-1,-1,1,1,1
80,32,3,1,1,1,-1,-1,1
80,33,3,1,1,1,1,-1,1
84,7,5,1,1,1,-1,-1,1
84,10,6,1,1,1,-1,-1,1
86,15,3,-1,1,1,1,1,1
89,13,2,-1,-1,-1,-1,-1,1
89,15,8,1,1,1,-1,-1,-1
89,16,7,1,1,1,-1,-1,-1
89,23,3,1,1,1,-1,1,-1
91,14,2,1,-1,1,-1,-1,-1
96,15,3,1,1,1,-1,-1,-1
96,15,4,1,1,1,1,-1,1
97,4,3,-1,-1,1,-1,1,-1
98,5,8,-1,-1,-1,1,1,-1
99,6,3,-1,1,1,1,1,-1
101,4,4,-1,-1,-1,-1,-1,1
101,8,3,1,1,1,-1,-1,1
101,8,4,1,1,1,-1,-1,1
103,1,1,1,-1,1,1,1,1
103,3,6,-1,1,-1,-1,-1,-1
106,4,4,1,1,1,-1,-1,-1
107,6,3,-1,-1,-1,1,-1,1
112,3,1,-1,-1,1,-1,1,-1
114,4,4,-1,-1,1,-1,1,-1
